id	doi	x	y	z	space	peak_id	table_id	table_num	title	authors	year	journal	groups
12244209	10.1073/pnas.162486399	-38.0	54.0	10.0	MNI	201	12	1	Neural basis of protracted developmental changes in visuo-spatial working memory.	Kwon H, Reiss AL, Menon V	2002	Proceedings of the National Academy of Sciences of the United States of America	
12244209	10.1073/pnas.162486399	24.0	58.0	20.0	MNI	202	12	1	Neural basis of protracted developmental changes in visuo-spatial working memory.	Kwon H, Reiss AL, Menon V	2002	Proceedings of the National Academy of Sciences of the United States of America	
12244209	10.1073/pnas.162486399	-54.0	-52.0	40.0	MNI	203	12	1	Neural basis of protracted developmental changes in visuo-spatial working memory.	Kwon H, Reiss AL, Menon V	2002	Proceedings of the National Academy of Sciences of the United States of America	
12244209	10.1073/pnas.162486399	48.0	-48.0	38.0	MNI	204	12	1	Neural basis of protracted developmental changes in visuo-spatial working memory.	Kwon H, Reiss AL, Menon V	2002	Proceedings of the National Academy of Sciences of the United States of America	
16683265	10.1002/hbm.20237	32.0	55.0	-18.0	TAL	457	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	4.0	59.0	9.0	TAL	458	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	32.0	52.0	9.0	TAL	459	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-46.0	25.0	20.0	TAL	460	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-10.0	40.0	-1.0	TAL	461	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-47.0	-26.0	20.0	TAL	462	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	25.0	-18.0	25.0	TAL	463	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-10.0	-62.0	9.0	TAL	464	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-22.0	11.0	-7.0	TAL	465	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-36.0	-62.0	-12.0	TAL	466	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	10.0	-77.0	29.0	TAL	467	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	36.0	22.0	-12.0	TAL	468	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adolescents
16683265	10.1002/hbm.20237	-26.0	-37.0	4.0	TAL	469	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adolescents
16683265	10.1002/hbm.20237	-10.0	-11.0	20.0	TAL	470	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adolescents
16683265	10.1002/hbm.20237	18.0	-7.0	20.0	TAL	471	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adolescents
16683265	10.1002/hbm.20237	-49.0	25.0	8.0	TAL	472	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-38.0	-35.0	8.0	TAL	473	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	31.0	47.0	-10.0	TAL	474	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	51.0	8.0	12.0	TAL	475	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-37.0	32.0	11.0	TAL	476	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	-25.0	4.0	27.0	TAL	477	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	29.0	-6.0	11.0	TAL	478	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
16683265	10.1002/hbm.20237	7.0	-6.0	14.0	TAL	479	25	2	Progressive increase of frontostriatal brain activation from childhood to adulthood during event-related tasks of cognitive control.	Rubia K, Smith AB, Woolley J, Nosarti C, Heyman I, Taylor E, Brammer M	2006	Human brain mapping	Adults
